Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,is_mitm,is_ssl_stripping,is_weak_cert,is_encrypted_malware
241,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,58091.28631,12448.13278,120.5,68.58935778,169,72,241,241.0,0.0,241,241,0,0.0,0.0,0,0,1,0,0,0,64,20,8298.755187,4149.377593,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
223,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,62780.26906,13452.9148,111.5,37.4766594,138,85,223,223.0,0.0,223,223,0,0.0,0.0,0,0,1,0,0,0,64,20,8968.609865,4484.304933,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
67,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14925.37313,14925.37313,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
65,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30769.23077,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15384.61538,15384.61538,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
12935212,21,31,2008,2745,640,0,95.61904762,140.0451628,976,0,88.5483871,223.315,367.4466255,4.020034616,253631.6078,672607.7368,2482696,3,11100000,552944.25,967591.7683,2532926,594,12900000,431171.1333,837426.0444,2482696,3,0,0,0,0,680,1000,1.623475518,2.396559098,0,976,89.67924528,191.0076291,36483.91437,0,0,0,1,0,0,1,91.40384615,95.61904762,88.5483871,1,0,0,1
8355664,9,15,112,188,24,0,12.44444444,10.17486009,34,0,12.53333333,14.54975045,35.90378933,2.872303147,363289.7391,930848.281,2853205,4,5459147,682393.375,1235284.596,2816890,233,8355586,596827.5714,1147287.789,2853205,4,0,0,0,0,296,488,1.07711368,1.795189467,0,34,12.0,12.81600562,164.25,0,0,0,1,0,0,1,12.5,12.44444444,12.53333333,1,0,0,1
258,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,54263.56589,11627.90698,129.0,73.53910524,181,77,258,258.0,0.0,258,258,0,0.0,0.0,0,0,1,0,0,0,64,20,7751.937984,3875.968992,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,9.333333333,7.0,0.0,1,0,0,1
9308910,9,15,106,188,22,0,11.77777778,9.391189725,34,0,12.53333333,14.54975045,31.58264501,2.578175103,404735.2174,1051543.551,3171304,3,6352866,794108.25,1468731.225,3212857,3,9308789,664913.5,1298064.281,3171304,3,0,0,0,0,296,488,0.966815664,1.61135944,0,34,11.76,12.61044541,159.0233333,0,0,0,1,0,0,1,12.25,11.77777778,12.53333333,1,0,0,1
10921811,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,435.1842382,4.944234981,206071.9057,557474.7537,2000599,3,9631722,458653.4286,826100.0941,2074964,460,10900000,352312.2903,696880.3757,2000599,3,0,0,0,0,712,1032,2.014317955,2.929917026,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,1,88.01851852,91.27272727,85.78125,1,0,0,1
85,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11764.70588,11764.70588,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
88,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22727.27273,88.0,0.0,88,88,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11363.63636,11363.63636,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,1,0,0,1
11857451,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,400.8450045,4.469763358,228027.9038,609202.1458,2030869,4,9959035,497951.75,871231.1575,2101154,619,11900000,382495.4194,754952.3292,2030869,4,0,0,0,0,680,1032,1.771038312,2.698725046,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,1,0,0,1
