pcap_file,label,src_ip,dst_ip,src_port,dst_port,tls_version,cipher_suite,cert_issuer,cert_subject,cert_expiry,handshake_time
Skype.pcap,Benign,1.2.102.211,1.1.210.113,443,27567,0x0300,0xc014,NA,NA,NA,0.0
Skype.pcap,Benign,1.2.35.255,1.1.150.176,443,38431,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.82.130,1.1.80.23,443,59168,0x0300,0xc014,NA,NA,NA,1.4e-05
Skype.pcap,Benign,1.2.98.110,1.1.214.10,443,56102,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.22.55,1.1.161.211,443,42727,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.155.193,1.1.47.108,443,34940,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.142.16,1.1.57.187,443,16075,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.108.234,1.1.216.91,443,29192,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.88.187,1.1.175.234,443,62382,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.96.83,1.1.95.225,443,25869,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.115.45,1.1.198.186,443,50181,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.104.0,1.1.101.55,443,56437,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.62.190,1.1.138.104,443,36712,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.64.29,1.1.139.199,443,63701,0x0300,0xc014,NA,NA,NA,7e-06
Skype.pcap,Benign,1.2.48.240,1.1.132.154,443,35235,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.44.108,1.1.44.9,443,12588,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.94.77,1.1.233.247,443,25352,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.133.136,1.1.133.16,443,35401,0x0300,0xc014,NA,NA,NA,1.5e-05
Skype.pcap,Benign,1.2.189.124,1.1.188.111,443,50024,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.193.184,1.1.117.99,443,31347,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.189.79,1.1.188.234,443,3579,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.179.135,1.1.179.34,443,49221,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.2.154,1.1.182.68,443,1912,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.21.10,1.1.160.180,443,6623,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.170.90,1.1.30.5,443,44824,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.225.38,1.1.84.209,443,23008,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.39.151,1.1.147.65,443,11345,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.162.200,1.1.22.94,443,7083,0x0300,0xc014,NA,NA,NA,1.3e-05
Skype.pcap,Benign,1.2.200.175,1.1.124.90,443,52586,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.220.165,1.1.220.45,443,57713,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.52.150,1.1.128.64,443,34142,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.239.21,1.1.238.179,443,62403,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.203.232,1.1.203.132,443,47302,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.220.178,1.1.220.61,443,27998,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.185.109,1.1.13.24,443,4649,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.24.182,1.1.163.145,443,7862,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.241.205,1.1.240.162,443,19550,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.220.11,1.1.211.81,443,57598,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.19.249,1.1.19.136,443,6323,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.195.178,1.1.119.93,443,53399,0x0300,0xc014,NA,NA,NA,2e-06
Skype.pcap,Benign,1.2.178.67,1.1.5.238,443,46842,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.77.26,1.1.248.196,443,20964,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.191.89,1.1.189.172,443,48861,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.3.69,1.1.182.239,443,48115,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.96.63,1.1.235.214,443,25891,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.137.51,1.1.60.222,443,36381,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.57.187,1.1.56.130,443,16354,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.188.171,1.1.8.86,443,3449,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.235.145,1.1.95.23,443,55437,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.98.19,1.1.212.250,443,54361,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.246.142,1.1.66.56,443,64394,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.193.77,1.1.192.235,443,31243,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.111.98,1.1.218.254,443,51237,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.194.43,1.1.193.201,443,31491,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.184.22,1.1.11.193,443,48338,0x0300,0xc014,NA,NA,NA,3e-06
Skype.pcap,Benign,1.2.27.140,1.1.27.40,443,44101,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.76.109,1.1.248.23,443,64814,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.157.93,1.1.41.8,443,41495,0x0300,0xc014,NA,NA,NA,8e-06
Skype.pcap,Benign,1.2.94.29,1.1.239.183,443,55679,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.35.170,1.1.151.72,443,37976,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.5.104,1.1.176.245,443,2617,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.139.25,1.1.62.196,443,36805,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.107.189,1.1.223.89,443,28829,0x0300,0xc014,NA,NA,NA,9e-06
Skype.pcap,Benign,1.2.55.66,1.1.130.236,443,34813,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.121.125,1.1.205.39,443,53821,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.182.108,1.1.181.231,443,1855,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.66.178,1.1.246.92,443,64376,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.168.26,1.1.26.113,443,9107,0x0300,0xc014,NA,NA,NA,1e-05
Skype.pcap,Benign,1.2.80.93,1.1.228.7,443,59669,0x0300,0xc014,NA,NA,NA,5e-06
Skype.pcap,Benign,1.2.245.144,1.1.245.23,443,18030,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.95.135,1.1.93.106,443,26457,0x0300,0xc014,NA,NA,NA,4e-06
Skype.pcap,Benign,1.2.81.47,1.1.228.217,443,59878,0x0300,0xc014,NA,NA,NA,4e-06
